cand	rank	freq
0	1	469018
0	2	87851
0	3	36878
0	4	21803
0	5	24790
0	6	474093
1	1	120544
1	2	365852
1	3	83792
1	4	38955
1	5	23768
1	6	481522
2	1	43941
2	2	118748
2	3	256896
2	4	96574
2	5	63428
2	6	534846
3	1	385398
3	2	45865
3	3	23565
3	4	13992
3	5	21580
3	6	624033
4	1	10554
4	2	43461
4	3	97617
4	4	202670
4	5	76309
4	6	683822
5	1	17668
5	2	75944
5	3	90747
5	4	87282
5	5	61178
5	6	781614
6	1	4313
6	2	20846
6	3	56475
6	4	57691
6	5	131048
6	6	844060
7	1	4165
7	2	24356
7	3	36278
7	4	41041
7	5	48968
7	6	959625
8	1	8416
8	2	31397
8	3	19056
8	4	20575
8	5	20978
8	6	1014011
9	1	1447
9	2	9221
9	3	16250
9	4	17622
9	5	18845
9	6	1051048
10	1	1543
10	2	7378
10	3	10203
10	4	11337
10	5	30704
10	6	1053268
